[2025-05-25 11:57:04] [ERROR] Could not find SSH auth logs
[2025-05-25 11:57:04] [ERROR] Could not find SSH auth logs
[2025-05-25 11:57:08] [INFO] No IPs currently blocked
[2025-05-25 11:57:12] [INFO] 🔍 Running all security scans...
[2025-05-25 11:57:12] [INFO] 
=== NETWORK SCAN ===
[2025-05-25 11:57:12] [INFO] Hostname: DESKTOP-EDKH6J0
[2025-05-25 11:57:12] [INFO] IP Address: 192.168.1.9
[2025-05-25 11:57:12] [INFO] 
=== PROCESS SCAN ===
[2025-05-25 11:57:12] [INFO] {'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
[2025-05-25 11:57:13] [INFO] {'pid': 7136, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'nvcontainer.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 7144, 'username': None, 'name': 'SecurityHealthService.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 7352, 'username': None, 'name': 'dllhost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 7764, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 8224, 'username': None, 'name': 'WmiPrvSE.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 9196, 'username': None, 'name': 'Razer Synapse Service.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 9224, 'username': None, 'name': 'AggregatorHost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 9356, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 9524, 'username': None, 'name': 'RzChromaStreamServer.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 9632, 'username': None, 'name': 'avp.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 9800, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'ctfmon.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 9976, 'username': None, 'name': 'WmiPrvSE.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 10380, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 10472, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 10600, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 11140, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 11272, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 11448, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 11724, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'opera.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 12172, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 12260, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'python.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 12416, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 12592, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 12624, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 12732, 'username': 'DESKTOP-EDKH6J0\\frknc', 'name': 'SearchApp.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 12824, 'username': None, 'name': 'svchost.exe'}
[2025-05-25 11:57:13] [INFO] {'pid': 13056, 'username': None, 'name': 'SearchIndexer.exe'}
