[2025-05-23 01:14:11] [INFO] No IPs currently blocked
[2025-05-23 01:14:19] [INFO] 🔍 Running selected scans...
[2025-05-23 01:14:19] [INFO] 
=== NETWORK SCAN ===
[2025-05-23 01:14:19] [INFO] Hostname: DESKTOP-EDKH6J0
[2025-05-23 01:14:19] [INFO] IP Address: 192.168.1.9
[2025-05-23 01:14:19] [Level 21] ✅ Selected scans completed!
[2025-05-23 01:14:22] [INFO] 🔍 Running selected scans...
[2025-05-23 01:14:22] [INFO] 
=== PROCESS SCAN ===
[2025-05-23 01:14:23] [INFO] {'name': 'opera.exe', 'pid': 23596, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'OfficeClickToRun.exe', 'pid': 23808, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'cmd.exe', 'pid': 24220, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'Spotify.exe', 'pid': 24236, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'Spotify.exe', 'pid': 24532, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 25072, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'OneDrive.exe', 'pid': 25344, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'opera.exe', 'pid': 25452, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 25892, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'nvcontainer.exe', 'pid': 25996, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 26616, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'opera.exe', 'pid': 26772, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'RuntimeBroker.exe', 'pid': 27304, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 27448, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'RTSSHooksLoader64.exe', 'pid': 28156, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'opera.exe', 'pid': 28232, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'CefSharp.BrowserSubprocess.exe', 'pid': 28656, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 28876, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'SearchApp.exe', 'pid': 29528, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'dwm.exe', 'pid': 30080, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 30472, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 30492, 'username': None}
[2025-05-23 01:14:23] [INFO] {'name': 'svchost.exe', 'pid': 30516, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'opera.exe', 'pid': 30540, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'ksdeui.exe', 'pid': 30616, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'UserOOBEBroker.exe', 'pid': 30972, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'PhoneExperienceHost.exe', 'pid': 31048, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'explorer.exe', 'pid': 31300, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'Spotify.exe', 'pid': 31404, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'opera.exe', 'pid': 31732, 'username': 'DESKTOP-EDKH6J0\\frknc'}
[2025-05-23 01:14:23] [INFO] {'name': 'ShellExperienceHost.exe', 'pid': 31956, 'username': 'DESKTOP-EDKH6J0\\frknc'}
